Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500938289,0,0,0,4
1529500938389,0,0,0,4
1529500938489,0,0,0,4
1529500938589,0,0,0,4
1529500938690,0,0,0,4
1529500938790,0,0,0,4
1529500938890,0,0,0,4
1529500938990,0,0,0,4
1529500939090,0,0,0,4
1529500939191,0,0,0,4
1529500939291,0,0,0,4
1529500939391,0,0,0,4
1529500939491,0,0,0,4
1529500939591,0,0,0,4
1529500939691,0,0,0,4
1529500939792,0,0,0,4
1529500939892,0,0,0,4
1529500939992,0,0,0,4
1529500940092,0,0,0,4
1529500940192,0,0,0,4
1529500940293,0,0,0,4
1529500940393,0,0,0,4
1529500940493,0,0,0,4
1529500940593,0,0,0,4
1529500940693,0,0,0,4
1529500940794,0,0,0,4
1529500940894,0,0,0,4
1529500940994,0,0,0,4
1529500941094,0,0,0,4
1529500941194,0,0,0,4
1529500941295,0,0,0,4
1529500941395,0,0,0,4
1529500941495,0,0,0,4
1529500941595,0,0,0,4
1529500941695,0,0,0,4
1529500941797,0,0,0,4
1529500941898,0,0,0,4
1529500941998,0,0,0,4
1529500942098,0,0,0,4
1529500942198,0,0,0,4
1529500942298,0,0,0,4
1529500942399,0,0,0,4
1529500942499,0,0,0,4
1529500942599,0,0,0,4
1529500942699,0,0,0,4
1529500942799,0,0,0,4
1529500942899,0,0,0,4
1529500943000,0,0,0,4
1529500943100,0,0,0,4
1529500943200,0,0,0,4
1529500943300,0,0,0,4
1529500943400,0,0,0,4
1529500943501,0,0,0,4
1529500943601,0,0,0,4
1529500943701,0,0,0,4
1529500943801,0,0,0,4
1529500943901,0,0,0,4
1529500944002,0,0,0,4
1529500944102,0,0,0,4
1529500944202,0,0,0,4
1529500944302,0,0,0,4
1529500944402,0,0,0,4
1529500944502,0,0,0,4
1529500944603,0,0,0,4
1529500944703,0,0,0,4
1529500944803,0,0,0,4
1529500944903,0,0,0,4
1529500945003,0,0,0,4
